id,description,en,si,ta
advancedSearchResult.pill.motherDoB,The label for mother d.o.b in active advancedSearchParams,Mother d.o.b,මව්න්ගේ උපන්දිනයයි,தாயின் பிறந்த தேதி
advancedSearchResult.pill.motherFirstName,The label for mother firstname in active advancedSearchParams,Mother firstname,මවගේ පළමු නම,தாயின் முதற் பெயர்
advancedSearchResult.pill.motherLastName,The label for mother lastname in active advancedSearchParams,Mother lastname,මවගේ අවසාන නම,தாயின் கடைசி பெயர்
advancedSearchResult.pill.regDate,The label for  registration date in active advancedSearchParams,Registration date,ලියාපදිංචි දිනය,பதிவு தேதி
advancedSearchResult.pill.regLocation,The label for event location in active advancedSearchParams,Location,ස්ථානය,இடம்
advancedSearchResult.pill.regNumber,The label for registration number in active advancedSearchParams,Registration number,ලියාපදිංචි අංකය,பதிவு இலக்கம்
advancedSearchResult.pill.registationStatus,The label for registration Status param in active advancedSearchParams,Registration status,ලියාපදිංචි තත්වය,பதிவு நிலை
advancedSearchResult.pill.timePeriod,The label for time period in active advancedSearchParams,Time period,වේලි කාලය,நேர காலம்
advancedSearchResult.pill.trackingId,The label for tracking id in active advancedSearchParams,Tracking ID,දල්ෆ් කිරීමේ හැඳුනුම්පත්කරණය,கண்காணிப்பு ஐடி
advancedSearchResult.table.noResult,The label for no result in advancedSearchResult page,No result,ප්‍රතිලාභයක් නොමැත,ஒரு முடிவு இல்லை
advancedSearchResult.table.searchResult,The label for search result header in advancedSearchResult page,Search results,සෙවුම් ප්‍රතිඵලයන්,தேடல் முடிவுகள்
applicant.firstname,The first name of the applicant,First name,මුල් නම,முதல் பெயர்
buttons.add,Add button text on form config,Add,එක් කරන්න,சேர்
buttons.apply,Apply button label,Apply,අයිතියට අයදුම් කරන්න,விண்ணப்பம்
buttons.approve,Approve button text,Approve,අනුමත කරනවා,அங்கீகரிக்கவும்
buttons.archive,Archive button text,Archive,අත්සන් කරන්න,சேமிப்பு
buttons.assign,Assign button label,Assign,පැනවිලියට පැනලා දීමට,ஒதுக்கீடு
buttons.back,Back button,Back,ආපසු,பின்னே
buttons.cancel,Cancel button text in the modal,Cancel,අවලංගු කරනවා,ரத்து செய்
buttons.change,Change action,Change,වෙනස් කරන්න,மாற்றவும்
buttons.changeLanguage,,Change language,භාෂාව වෙනස් කරන්න,மொழியை மாற்றவும்
buttons.closeDeclaration,Close declaration button text,Close declaration,එක්සන් ප්‍රකාශය,அரிக்கை மூடுக
buttons.configure,Configure button text,Configure,ක්‍රියාවට සකසන්න,கட்டமைக்கவும்
buttons.confirm,Label used for confirm button,Confirm,තහවුරු කරන්න,உறுதிப்படுத்தவும்
buttons.continue,Continue Button Text,Continue,අපිට ප්‍රායෝලක් කරන්න.,தொடருங்கள்
buttons.copied,Copied button text,Copied,පිළිගත්තාද,நகலைக் கொண்டு வருகிறேன்
buttons.copy,Copy button text,Copy,පිළිගත් අන්තර්ගතයට පිටපත් කරන්න.,நகல்
buttons.create,Label for submit button of client integration creation form,Create,නිර්මාණය කරන්න,உருவாக்குக
buttons.delete,Delete button,Delete,මකන්න,நீக்குக
buttons.deleteDeclaration,Delete declaration button text,Delete declaration,ප්‍රඳා ඉවත් කරන්න,அறிக்கை நீக்குக
buttons.drafts,,Drafts,කළමනාකරණයක්,வரையறுக்கப்பட்டது
buttons.edit,Edit button text,Edit,නැවත සංස්කරණය කරන්න,திருத்துக
buttons.editRecord,Correct record button text on review certificate,"No, make correction",නැවත සැකසුම් කරන්න,"இல்லை, திருத்தம் செய்க"
buttons.editRegistration,Edit registration button text,Edit registration,ලියාපදිංචි වෙනස් කරන්න,பதிவுப் பதிப்பை திருத்துக
buttons.exactDateUnknown,Label for DateRangePickerForFormField components daterangepicker toggle button,Exact date unknown,දිනය ප්‍රාථමිකයි,தற்காலிகமாக தேதி தெரியவில்லை
buttons.exit,Label for Exit button on EventTopBar,Exit,පිටවීම,வெளியேறுக
buttons.finish,The label for finish printing certificate button,Finish,අවසන් කරන්න,முடிக்கும்
buttons.forgotPassword,The label for forgot password button,Forgot password,මුරපදය අමතක වුණා,கடவுச்சொல் மறந்துவிட்டேன்
buttons.forgottenPIN,The label for forgotten pin button,Forgotten pin,අමතර පිනය,மறந்துவிட்டுள்ள பின்
buttons.goToHomePage,Label for Go to Homepage button,Back to home,ගෙදරට ආපසු යන්න,வீட்டுக்கு திரும்புகிறேன்
buttons.homepage,,Homepage,මුල් පිටුව,முதல் பக்கம்
buttons.issue,Button for issuing,Issue,නිකුත් කරන්න,வெளியிடவும்
buttons.login,Login button on session expire modal,Login,ඇතුල් වන්න,உள்நுழையுங்கள்
buttons.logout,logout title,Logout,ඉවත්වීම,வெளியேறு
buttons.makeCorrection,Make correction button text on correction summary,Make correction,සුළු කිරීම කරන්න,திருத்தம் செய்யவும்
buttons.menu,,Menu,මෙනුස්ට්රියාව,மெனு
buttons.next,The label for next button,Next,ඊළඟ,அடுத்து
buttons.no,No button text,No,නෑ,இல்லை
buttons.preview,Preview button,Preview,පෙරදසුන්,முன்னோட்டம்
buttons.print,Print button text,Print,මුද්‍රණය කරන්න,அச்சிடு
buttons.printCertificate,,Print certificate,සහතිකය මුද්‍රණය කරන්න,சான்றிதழை அச்சிடவும்
buttons.printDeclaration,,Print declaration,ක්ෂණික ප්‍රකාශය මුද්‍රණය කරන්න,அறிக்கை அச்சிடுக
buttons.publish,Publish button text on form config,Publish,ප්‍රකාශය කරන්න,வெளியிடு
buttons.refresh,Refresh button,Refresh,නැවත ලැබීම,புதுப்பிக்கவும்
buttons.register,Label for button on register confirmation modal,Register,ලියාපදිංචියට ලියන්න,பதிவு செய்க
buttons.reinstate,Label for reinstate button,Reinstate,නැවත යළියොදුන්න,மீள்பெறுதல்
buttons.reject,A label for reject link,Reject,ප්‍රතිචාරයක්,நிராகரிக்கவும்
buttons.rejectDeclaration,Reject declaration button text,Reject declaration,ප්‍රකාශය ප්‍රතික්ෂේප කරන්න,அறிக்கையை நிராகரிக்கவும்
buttons.replace,Label for replacing the whole section in review form,Change all,සියල්ල වෙනස් කරන්න,அனைத்தையும் மாற்றவும்
buttons.retry,The title of retry button for failed declaration,Retry,නැවත උත්සහා කරන්න,மீண்டும் முயற்சி செய்க
buttons.review,Review button text,Review,අදාළවල්,மதிப்பீடு
buttons.save,Save Button Text,Save,ඉස්වියට සුරකිනවා,சேமி
buttons.saveAndExit,Save & exit Button Text,Save & Exit,සුරක්ෂිත කර පිටවන්න,சேமித்து வெளியேறு
buttons.saveDraft,,Save as draft,උපරිමය සුරකිනවා,வரையறுக்கவும்
buttons.saving,Saving Button Text,Saving...,සුරතලය සේවා කිරීම...,சேமிக்கப்படுகின்றது...
buttons.search,The title of search input submit button,Search,සෙවුම,தேடுக
buttons.select,The select title,Select,තෝරන්න,தேர்ந்தெடுக்கவும்
buttons.send,Submit button on submit modal,Confirm,තහවුරු කරන්න,உறுதிப்படுத்தவும்
buttons.sendForApproval,Title for complete submit button,Send for approval,අනුමත කිරීම සඳහා යවන්න,அனுமோனத்தைப் பெறுங்கள்
buttons.sendForReview,Submit Button Text,Send for review,සඳහන් කිරීම සඳහා යවන්න,மதிப்பீடுக்கு அனுப்பவும்
buttons.sendForUpdates,,Send for updates,යාවත්කාලීනව යවන්න.,புதுப்பிக்கவும்
buttons.sendIncomplete,Title for Incomplete submit button,Send for review,සඳහන් කිරීම සඳහා යවන්න,மதிப்பீடுக்கு அனுப்புங்கள்
buttons.settings,Menu item settings,Settings,සැකසුම්,அமைப்புகள்
buttons.start,Label of start button,Start,ආරම්භයට ප්‍රයෝජනවන්ති.,தொடங்குக
buttons.status,Label of status button,Status,තරමේදීම,நிலை
buttons.unassign,Unassign button label,Unassign,අස්‌ථානගත කරනවා,விலக்குக்கொள்
buttons.update,The title of update button for draft declaration,Update,යාවත්කාලීනය කරන්න,புதுப்பிக்கவும்
buttons.upload,Upload buttton,Upload,උඩුගත කරන්න,பதிவேற்றுக
buttons.verify,Label for verify password button,Verify,සත්‍යාවක් පිළිබඳව පිළිගත කරන්න,சரிபார்க்கவும்
buttons.view,Label for link button view,View,දර්ශකයට පෙන්වන්න,காண்க
buttons.yes,Yes button text,Yes,ඔව්,ஆம்
certificate.confirmCorrect,Edit,Please confirm that the informant has reviewed that the information on the certificate is correct and that you are ready to print.,කරුණාකර සඳහන් කරන්න නිවැරදි තොරතුරු ලේඛනයේ පිළිබඳව හදාගන්නේ සහ ඔබ මුද්‍රණය කිරීම සඳහා මූලික විය හැකිය.,தயவுசெய்து அறிக்கையாளர் சரியான தகவலை பராமரித்துள்ளார் என்று உறுதிசெய்க மற்றும் அச்சம் அச்சிட விரும்புகிறீர்கள் என்று உறுதிசெய்க.
certificate.isCertificateCorrect,Question asking the user if the information on the  certificate is correct,Is the {event} certificate correct?,{event} සහායකාලාවේ සහතිකය සාර්ථකයිද?,{event} சான்றிதழம் சரியானதா?
certificate.label.birth,,Birth,උපන්දිනය,பிறப்பு
certificate.label.death,,Death,මරණය,மரணம்
certificate.label.dob,,D.o.B,උ.ප.ද.,ப.ப.தி
certificate.label.dod,,D.o.D,ක්‍රියාකාරීත්වයයි.,த.த.தி.
certificate.parent.details.label.age,Person age,Age,වයස,வயது
certificate.parent.details.label.dateOfBirth,Parent Date of Birth,Date of Birth,උපන් දිනය,பிறந்த தேதி
certificate.parent.details.label.familyName,Parent last name,Last name,අවසන් නම,கடைசி பெயர்
certificate.parent.details.label.familyNameInEng,Parent last name,Last name,අවසන් නම,கடைசி பெயர்
certificate.parent.details.label.firstName,Parent first names,First name(s),මුල් නම(විස්තර),முதல் பெயர்(கள்)
certificate.parent.details.label.firstNameInEng,Parent first names,First name(s),මුල් නම(විස්තර),முதல் பெயர்(கள்)
certificate.parent.details.label.nationality,Parent Nationality,Nationality,ජාතිකත්වය,தேசியம்
certificate.parent.details.label.number,Parent number,Number,අංකය,எண்
certificate.parent.details.label.typeOfID,Parent Type of ID,Type of ID,අනුපාතික හැඳුනුම්පත්තියේ වර්ගය,ஐடி வகை
certificate.receipt.amount,Amount paid for certificate label,Amount paid:,ගාස්තුව: {amount},செலுத்திய தொகை:
certificate.receipt.amountDue,The label for due amount,Fee,ගාස්තුව,கட்டணம்
certificate.receipt.birthService.after,Amount due on certificate for birth label,Birth registration after {target} days of date of birth,උපන් දිනයෙන් {target} දිනට පසු උපන් ලියාපදිංචිය,பிறந்த தேதி பின்னர் {target} நாட்களில் பிறப்பு பதிவு
certificate.receipt.birthService.before,Amount due on certificate for birth label before target days,Birth registration before {target} days of date of birth,උපරිම උපරිම දින පෙර උපරිම උපරිම ලියාපදිංචිය,பிறந்த தேதி முன்னே {target} நாட்களுக்கு முன்பு பிறப்பு பதிவு
certificate.receipt.birthService.between,Amount due on certificate for birth label,Birth registration between {target} days and {latetarget} days of date of birth,උපරිම උපරිදි {දිනය} සහ {ප්‍රමාද} අදිනයේ උපරිම ලිපි ලියාපදිංචි කිරීමට ඉඩ දෙනවා,பிறப்பு பதிவு {தேடல்} நாட்களுக்கு மற்றும் பிறப்பு தேதியின் {பிற்ப்புதேடல்} நாட்களுக்கு இடையே செய்யப்பட வேண்டும்.
certificate.receipt.deathService.after,Amount due on certificate for death label,Death registration after {target} days of date of death,මස්වරු {ඉලක්කම} පසු මධ්‍යස්ථාන ලියාපදිංචිය,மரணத் தேதியின் பிறகு {target} நாட்களுக்கு பின் பதிவு செய்யப்படும்.
certificate.receipt.deathService.before,Amount due on certificate for death label before target days,Death registration before {target} days of date of death,මරණ ලිපිය මධ්‍යම දින {target} දිනයට පෙර ලිපියක් ලියන්න,"மரணத் தொலைபேசி பதிவு, மரண தேதியின் {target} நாடுகளுக்கு முன்பு செய்யப்பட வேண்டும்."
certificate.receipt.header,Receipt header for payment on certificate,Receipt for {event} Certificate of,{සන්නිවේදනය} සහිත සහතිකයේ ලිපිය,{event} சான்றிதழ் ரசீது
certificate.receipt.issuedAt,Receipt on payment on certificate issued at label,Issued at:,නිවේදනය කළ වෙනසක්:,வெளியிடப்பட்டது:
certificate.receipt.issuedBy,,By:,කොළඹා,மூலம்:
certificate.receipt.issuedDate,,Date of payment:,ගොනු දිනය:,கட்டணத் தேதி:
certificate.receipt.issuer,Issuer information for receipt of certificate payment label,"By: {role}, {name} Date of payment: {dateOfPayment}","වෙළඳ මංගලදී: {role}, {name} ගෙවීමේ දිනය: {dateOfPayment}","வழக்காடு: {role}, {name} கட்டண தேதி: {dateOfPayment}"
certificate.receipt.marriageService.after,Amount due on certificate for marriage label,Marriage registration after {target} days of date of marriage,{දිනය} පසු {විවාහ} දිනවල විවාහය ලියාපදිංචි කිරීම,"திருமண பதிவு, திருமண தேதி பின்னர் {target} நாட்களில் செய்யப்படும்."
certificate.receipt.marriageService.before,Amount due on certificate for marriage label before target days,Marriage registration before {target} days of date of marriage,{පිටපත්} දින පෙර මගේ විවාහයේ දිනයේ පිළිබඳ පිළිවෙනවාවේ ලියාපදිංචිය,"திருமண பதிவு, திருமண தேதி முன்னே {target} நாட்களில் செய்யப்பட வேண்டும்."
certificate.receipt.service,Service received for receipt label,Service,සේවා,சேவை
certificate.receipt.service..5year.amount,,රු. 50.00,රු. 50.00,ரூ. 50.00
certificate.receipt.service.5year,,{event} registration after 5 years of event,{event} ලියාපදිංචි වීම සියලු 5 වසරක් පසු සඳහා,{event} நிகழ்ச்சியின் 5 ஆண்டுகள் பின்னுக்கு பதிவு
certificate.receipt.service.targetDay,,{event} registration after 45 days of event,{event} ලියාපදිංචි කිරීම සිදුවීම් පසු 45 දිනන්ද පසින්,{event} நிகழ்ச்சியின் 45 நாட்களுக்கு பின் பதிவு
certificate.receipt.service.targetDay.amount,,රු. 25.00,රු. 25.00,ரூ. 25.00
certificate.receipt.subheader,Subheader for receipt on payment on certificate,{event} Registration after {DOBDiff} of {DOE},{DOE} පසුව {DOBDiff} න් {event} ලියාපදිංචිය,{DOE} இன் {DOBDiff} க்குப் பிறகு {event} பதிவு
certificate.selectTemplate,Select certificate template,Type,ටයිප් කරන්න,வகை
certificate.selectedTemplate,Selected certificate template,Selected certificate template,තෝරාගත් සහයෝගයේ ලකුණු අක්ෂරය,தேர்ந்தெடுக்கப்பட்ட சான்றிதழ் வார்ப்புரு
certificates.birth.certificate,Birth Certificate,Birth Certificate,උපන්දින සහතිකය,பிறப்பு சான்றிதழ்
certificates.birth.certificate.copy,Birth Certificate Certified Copy,Birth Certificate Certified Copy,උපන්දින සහතික පිළිබඳව ප්‍රාථමික පිටපත්,பிறப்பு சான்றிதழ் அனுமதிக்கப்பட்ட பிரதி
certificates.birth.registration.receipt,Birth Registration Receipt,Birth Registration Receipt,උපන්දින ලියාපදිංචිය,பிறப்பு பதிவு ரசீது
certificates.death.certificate,Death Certificate,Death Certificate,මරණ සහතිකය,மரண சான்றிதழ்
certificates.death.certificate.copy,Death Certificate Certified Copy,Death Certificate Certified Copy,මරණ සහතික ප්‍රථිපාලනය කළ ප්‍රකාශය,மரண சான்றிதழ் சரியான பிரமாணம்
certificates.marriage.certificate,Marriage Certificate,Marriage Certificate,විවාහක සහතිකය,திருமண சான்றிதழ்
certificates.marriage.certificate.copy,Marriage Certificate Certified Copy,Marriage Certificate Certified Copy,විවාහ සහතික ප්‍රකාශය,திருமண சான்றிதழ் அங்கீகாரம்
changeEmail.validation.msg,Phone number validation message,Must be a valid email address,වලංගු ඊමේල් ලිපිනය විශ්වාස විය යුතු යුතුයි,ஒரு செயலியில் சேமிக்கப்பட வேண்டிய மின்னஞ்சல் முகவரி செய்ய வேண்டும்
changeModal.cancel,The label for cancel button of change modal,Cancel,අවලංගු කරන්න,ரத்து செய்
changeModal.continue,The label for continue button of change modal,Continue,අපිට ප්‍රායෝලක් කරන්න.,தொடருங்கள்
changeModal.description,The description for change modal,A record will be created of any changes you make,ඔබගේ කොටස කිරීම් සියලු වෙනසන්නෙන් ප්‍රාථමික වාර්තා නිර්දේශයක් සාදා ඇතුලු වේ.,நீங்கள் செய்யும் எந்த மாற்றங்களின் பதிவு செய்யப்படும்
changeModal.title,The title for change modal,Edit declaration?,ප්‍රතිස්ථාපනය සංස්කරණය කරනවාද?,பிரமாணத்தை திருத்த வேண்டுமா?
changePhone.validation.msg,Phone number validation message,Must be a valid 10 digit number that starts with 0,0 දෙකයේ ආකෘතිය තුල සංඛ්යාව එකක් වර්ගයේ විය යුතුය.,0 ஆரம்பிக்கும் 10 இலக்க எண் இருக்க வேண்டும்.
config.advanced.search,This is used for the advanced search,Advanced Search,දර්ශක සෙවීම,மேம்பட்ட தேடல்
config.advanced.search.instruction,This is used for the advanced search,Select the options to build an advanced search. A minimum of two search parameters is required.,උසස් සෙවුම තොරතුරු ගොනුවක් තෝරවීමට විකල්ප තෝරන්න. අවලංගු සෙවුම් ක්‍රමයන් දෙකක් අවශ්‍ය වේ.,மேம்படுத்தப்பட்ட தேடலை உருவாக்க விருப்பங்களைத் தேர்ந்தெடுக்கவும். குறைந்தது இரண்டு தேடல் அளவுகள் தேவை.
config.application.birthTabTitle,The title for birth tab,Birth,උපන්දිනය,பிறப்பு
config.application.birthTabTitleExport,The title for birth tab for VSExport,Births,උපන්දිනයන්,பிறப்புகள்
config.application.deathTabTitle,The title for death tab,Death,මරණය,மரணம்
config.application.deathTabTitleExport,The title for death tab for VSExport,Deaths,මිරිස්,மரணங்கள்
config.application.emptystate,Vital Statistics Export Empty State Text,The previous month's vital statistics data (based on vital event registrations occurring within that month) will become available for you to export as of the 1st of every month. Large CSV files cannot be opened in Excel and should therefore be opened in a statistical program such as {posit}.,"පසුගිය මාසයේ අත්සන් සංඛ්‍යාව (එවිට සිදුවීම් ලිපි ලියාපදිංචි වීමෙන් පිටපත් වීමට ලබාදෙනු ඇත) ඔබට මාසික පළාත් ලබාදෙනු ඇති දත්ත සංඛ්‍යාව මාස 1 වෙනිදා ඔබට නිර්දේශ කිරීමට ලබාගත හැකිය. විශේෂ CSV ගොනුවන් Excel වෙත විවෘත කළ නොහැකිය හෝ එයට හැකියාවූ තිරසාර වෛරසක ප්‍රවර්ගයට විවෘත කළ යුතුය, එන්නත් {posit} විසින්.",கடைசியாக கடந்த மாதத்தின் முக்கிய புள்ளியல் தரவு (அந்த மாதத்தில் நடக்கும் முக்கிய நிகழ்வுகளின் பதிவுகளின் அடிப்படையில்) நீங்கள் ஒவ்வொரு மாதம் 1 ம் தேதியில் ஏற்றுமதி செய்யக்கூடும். பெரும்பாக்கி சி.எஸ்.வி கோப்புகளை எக்செல் இல் திறக்க முடியாது என்று கருதப்படுகின்றது மற்றும் அதாவது {posit} போன்ற ஒரு புள்ளியல் நிரலில் திறக்க வேண்டும்.
config.application.export,Download Export CSV,Export,නිර්දේශය,ஏற்றுமதி
config.application.vitalStatistics,Vital Statistics Export,"Month-{month}-Sri-Lanka-{event, select, birth{birth} death{death} other{birth}}-event-statistics.csv {fileSize}","මාසය-{month}-ෆරජාලන්ඩ්-{event, select, birth{උපන්} death{මරයි} other{උපන්}}-ස්ථාන-සංඛ්‍යාව.csv {fileSize}","மாதம்-{month}-பரஜாலந்து-{event, select, birth{பிறப்பு} death{மரணம்} other{பிறப்பு}}-நிகரான-புள்ளியிடம்.சி.வி {fileSize}"
