id,description,en,si,ta
resetCredentials.success.page.subtitle.phone,Subtitle for success page for phone,"{forgottenItem, select, username {Check your phone for a reminder of your username} password {You can now login with your new password} other {}}","{forgottenItem, select, username {ඔබගේ පරිශීලක නාමය අත්හිටුවන දුරකථනය පරික්ෂා කරන්න} password {ඔබගේ නව මුරපදය සමඟ දැන් ඇතුළත් වී ඇත} other {}}","{forgottenItem, select, username {உங்கள் பயனர்பெயரை நினைவுக்கான உங்கள் தொலைபேசியைச் சரிபார்க்கவும்} password {உங்கள் புதிய கடவுச்சொல்லுடன் உள்நுழைய முடியும்} other {}}"
resetCredentials.success.page.title,Title for success page,"{forgottenItem, select, username {Username reminder sent} password {Password reset successful} other {}}","{forgottenItem, select, username {පරිශීලක නාමය අලුත් කිරීමේ දැනුම යැවීය} password {මුරපද නැවත සකසා ඇත} other {}}","{forgottenItem, select, username {பயனர்பெயர் நினைவு அனுப்பப்பட்டுள்ளது} password {கடவுச்சொல் மீளமைக்கப்பட்டது} other {}}"
userSetup.securityQuestions.birthTown,The description for BIRTH_TOWN key,What city were you born in?,ඔබ කුමන නගරයේ උපන් වූවේ කුමන්ද?,நீ எந்த நகரத்தில் பிறந்தாய்?
userSetup.securityQuestions.favoriteFood,The description for FAVORITE_FOOD key,What is your favorite food?,ඔබගේ ප්‍රිය ආහාර කුඩා කුඩා කුඩා?,உங்கள் பிடித்த உணவு என்ன?
userSetup.securityQuestions.favoriteMovie,The description for FAVORITE_MOVIE key,What is your favorite movie?,ඔබට වඩාත් කැමති චිත්‍රපටය කුමක්ද?,உங்களுக்குப் பிடித்த திரைப்படம் எது?
userSetup.securityQuestions.favoriteSong,The description for FAVORITE_SONG key,What is your favorite song?,ඔබගේ ප්‍රියතම ගීතය කුමක්ද?,உங்கள் பிடித்த பாடல் எது?
userSetup.securityQuestions.favoriteTeacher,The description for FAVORITE_TEACHER key,What is the name of your favorite school teacher?,ඔබගේ ප්‍රියතම පාසලේ ගුරුවේ නම කුමක්ද?,உங்கள் பிடித்த பள்ளி உரிமையாளரின் பெயர் என்ன?
userSetup.securityQuestions.firstChildName,The description for FIRST_CHILD_NAME key,What is your first child's name?,ඔබගේ පළමු දරුවාගේ නම කුමක්ද?,உங்கள் முதல் குழந்தையின் பெயர் என்ன?
userSetup.securityQuestions.hightSchool,The description for HIGH_SCHOOL key,What is the name of your high school?,ඔබගේ උසස් පාසලේ නම කුමක්ද?,உங்கள் உயர் பள்ளியின் பெயர் என்ன?
userSetup.securityQuestions.motherName,The description for MOTHER_NAME key,What is your mother's name?,ඔබගේ මවගේ නම කුමක්ද?,உங்கள் தாயின் பெயர் என்ன?
validations.emailAddressFormat,The error message that appears on email address,Must be a valid email address,වලංගු ඊමේල් ලිපිනය විසින් විය යුතු යැයි යන්න,ஒரு செயலியாளரின் மின்னஞ்சல் முகவரி செல்ல வேண்டும்
validations.minLength,The error message that appears on fields with a minimum length,Must be {min} characters or more,{min} අක්ෂර හෝ ඊට වචන වැඩි විය යුතුය,குறைந்தது {min} எழுத்துக்கு அல்லது அதற்கு மேல் இருக்க வேண்டும்.
validations.mobileNumberFormat,The format of the mobile number that appears in an error message,0712345678,0712345678,0712345678
validations.mobilePhoneRegex,The regular expression to use when validating a local mobile phone number,^0(7[0-9])[0-9]{7}$,^0(7[0-9])[0-9]{7}$,^0(7[0-9])[0-9]{7}$
validations.numberRequired,The error message that appears on fields where the value must be number,Must be number,අංකය විනිශ්චය වීම අවශ්‍යවේ,எண் இருக்க வேண்டும்
validations.phoneNumberFormat,The error message that appears on phone numbers where the first character must be a 0,Enter a valid mobile phone number,වලංගු ජංගම දුරකථන අංකයක් ඇතුළත් කරන්න,ஒரு செல்லுசை தொலைபேசி எண்ணை உள்ளிடவும்.
validations.required,The error message that appears on required fields,required,අවශ්‍යයි,தேவையானது
validations.requiredSymbol,A blank error message. Used for highlighting a required field without showing an error,,,
